DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
967,19190117,    1,     ,
967,19190118,   11,     ,
967,19190119,   22,     ,
967,19190120,    1,     ,
967,19190121,    0,     ,
967,19190122,    0,     ,
967,19190123,    0,     ,
967,19190124,    0,     ,
967,19190125,    0,     ,
967,19190126,    0,     ,
967,19190127,   63,     ,
967,19190128,    1,     ,
967,19190129,    1,     ,
967,19190130,    1,     ,
967,19190131,    0,     ,
967,19190201,    0,     ,
967,19190202,    2,     ,
967,19190203,    0,     ,
967,19190204,    0,     ,
967,19190205,   12,     ,
967,19190206,   19,     ,
967,19190207,    0,     ,
967,19190208,    0,     ,
967,19190209,    0,     ,
967,19190210,    0,     ,
967,19190211,    0,     ,
967,19190212,    0,     ,
967,19190213,    0,     ,
967,19190214,    0,     ,
967,19190215,    0,     ,
967,19190216,    3,     ,
967,19190217,   59,     ,
967,19190218,   48,     ,
967,19190219,   23,     ,
967,19190220,   26,     ,
967,19190221,   14,     ,
967,19190222,   82,     ,
967,19190223,   93,     ,
967,19190224,    0,     ,
967,19190225,   18,     ,
967,19190226,   64,     ,
967,19190227,    7,     ,
967,19190228,  119,     ,
967,19190301,   43,     ,
967,19190302,    0,     ,
967,19190303,   25,     ,
967,19190304,   51,     ,
967,19190305,  143,     ,
967,19190306,   78,     ,
967,19190307,   51,     ,
967,19190308,    5,     ,
967,19190309,    6,     ,
967,19190310,    6,     ,
967,19190311,    7,     ,
967,19190312,    0,     ,
967,19190313,    1,     ,
967,19190314,    1,     ,
967,19190315,    0,     ,
967,19190316,    1,     ,
967,19190317,    0,     ,
967,19190318,   46,     ,
967,19190319,    1,     ,
967,19190320,    1,     ,
967,19190321,   25,     ,
967,19190322,    4,     ,
967,19190323,    4,     ,
967,19190324,    0,     ,
967,19190325,    0,     ,
967,19190326,    5,     ,
967,19190327,   11,     ,
967,19190328,   90,     ,
967,19190329,   46,     ,
967,19190330,   53,     ,
967,19190331,   28,     ,
967,19190401,    0,     ,
967,19190402,   34,     ,
967,19190403,    1,     ,
967,19190404,    0,     ,
967,19190405,    0,     ,
967,19190406,    0,     ,
967,19190407,    0,     ,
967,19190408,    0,     ,
967,19190409,    0,     ,
967,19190410,   10,     ,
967,19190411,   35,     ,
967,19190412,   11,     ,
967,19190413,   48,     ,
967,19190414,   34,     ,
967,19190415,   60,     ,
967,19190416,   21,     ,
967,19190417,   78,     ,
967,19190418,   23,     ,
967,19190419,    0,     ,
967,19190420,    0,     ,
967,19190421,    0,     ,
967,19190422,    0,     ,
967,19190423,    0,     ,
967,19190424,   25,     ,
967,19190425,    8,     ,
967,19190426,    7,     ,
967,19190427,   66,     ,
967,19190428,   80,     ,
967,19190429,    1,     ,
967,19190430,   70,     ,
967,19190501,   21,     ,
967,19190502,   44,     ,
967,19190503,   99,     ,
967,19190504,    1,     ,
967,19190505,    0,     ,
967,19190506,    0,     ,
967,19190507,    0,     ,
967,19190508,    0,     ,
967,19190509,    0,     ,
967,19190510,    0,     ,
967,19190511,   46,     ,
967,19190512,  169,     ,
967,19190513,    1,     ,
967,19190514,    0,     ,
967,19190515,    0,     ,
967,19190516,    0,     ,
967,19190517,    0,     ,
967,19190518,    0,     ,
967,19190519,    0,     ,
967,19190520,    0,     ,
967,19190521,    0,     ,
967,19190522,    0,     ,
967,19190523,    0,     ,
967,19190524,    0,     ,
967,19190525,    0,     ,
967,19190526,    0,     ,
967,19190527,    0,     ,
967,19190528,    0,     ,
967,19190529,    0,     ,
967,19190530,    0,     ,
967,19190531,    0,     ,
967,19190601,    0,     ,
967,19190602,    0,     ,
967,19190603,    0,     ,
967,19190604,   11,     ,
967,19190605,  109,     ,
967,19190606,    5,     ,
967,19190607,   12,     ,
967,19190608,    0,     ,
967,19190609,    0,     ,
