,PB05_1
2007-10-28,12.690000000000001
2007-11-14,13.07
2007-11-28,13.05
2007-12-14,13.27
2007-12-28,13.2
2008-01-14,13.280000000000001
2008-01-28,13.32
2008-02-14,13.36
2008-02-28,13.280000000000001
2008-03-14,13.3
2008-03-28,13.45
2008-04-14,13.490000000000002
2008-04-28,13.440000000000001
2008-05-28,13.0
2008-06-14,13.0
2008-06-28,12.870000000000001
2008-07-14,12.82
2008-07-28,12.690000000000001
2008-08-14,12.66
2008-08-28,12.580000000000002
2008-09-14,12.490000000000002
2008-09-28,12.43
2008-10-14,12.600000000000001
2008-10-28,12.670000000000002
2008-11-14,12.740000000000002
2008-11-28,12.870000000000001
2008-12-14,12.93
2008-12-28,12.95
2009-01-14,12.969999999999999
2009-01-28,13.04
2009-02-14,13.2
2009-02-28,13.21
2009-03-14,13.280000000000001
2009-03-28,13.330000000000002
2009-04-14,13.190000000000001
2009-04-28,13.080000000000002
2009-05-14,12.89
2009-05-28,12.650000000000002
2009-06-14,12.71
2009-06-28,12.370000000000001
2009-07-14,12.29
2009-07-28,12.39
2009-08-14,12.16
2009-08-28,11.96
2009-09-14,11.990000000000002
2009-09-28,11.969999999999999
2009-10-14,12.45
2009-10-28,12.3
2009-11-14,12.64
2009-11-28,12.86
2009-12-14,13.030000000000001
2009-12-28,13.11
2010-01-14,13.170000000000002
2010-01-28,13.23
2010-02-14,13.310000000000002
2010-02-28,13.45
2010-03-14,13.39
2010-03-28,13.440000000000001
2010-04-14,13.350000000000001
2010-04-28,13.170000000000002
2010-05-14,13.2
2010-05-28,13.04
2010-06-14,12.810000000000002
2010-06-28,12.45
2010-07-14,12.280000000000001
2010-07-28,12.18
2010-08-14,12.129999999999999
2010-08-28,12.41
2010-09-14,12.620000000000001
2010-09-28,12.73
2010-11-14,13.2
2010-11-28,13.240000000000002
2011-01-14,13.600000000000001
2011-01-28,13.54
2011-02-14,13.620000000000001
2011-02-28,13.64
2011-03-14,13.440000000000001
2011-03-28,13.36
2011-04-14,13.27
2011-04-28,13.04
2011-05-14,12.780000000000001
2011-05-28,12.490000000000002
2011-06-14,12.469999999999999
2011-06-28,12.490000000000002
2011-07-14,12.29
2011-07-28,12.530000000000001
2011-08-14,12.440000000000001
